Status,ID,UID,Título,Usuário,Observações,Plano,RTSP
online,724368,XO4K0204348QY,"RUA GETULIO VARGAS, S/N- CENTRO, UPANEMA-RN, BRASIL- PRAÇA 02",UPANEMA\RN,,3dias,
online,711402,7KOL0620946VV,"RUA ANTÔNIO CARLOS DE CARVALHO-, UPANEMA-RN, BRASIL- ABATEDOURO 03",UPANEMA\RN,,3dias,
online,711389,7KOL0620672LP,"RUA LUCAS CARLOS - PÊGAS CER - UPANEMA-RN, BRASIL, - CENTRO DE REABILITAÇÃO",UPANEMA\RN,,3dias,
online,714228,7KOL09020549U,"RN 110, UPANEMA-RN, BRASIL- CRAS",UPANEMA\RN,,3dias,
online,710964,7KOL0617957DT,"RUA AGOSTINHO PINTO,248- SANTA PAZ- UPANEMA- RN, BRASIL- PRÓ INFÂNCIA",UPANEMA\RN,,3dias,
online,710699,7KOL062095113,"RUA GETULIO VARGAS, S/N- CENTRO, UPANEMA-RN, BRASIL- MERCADO PUBLICO 02",UPANEMA\RN,,3dias,
online,668456,XO4K0104762P6,"RUA ANTÔNIO CARLOS DE CARVALHO-, UPANEMA-RN, BRASIL- ABATEDOURO 01",UPANEMA\RN,,3dias,
online,724304,7KOL06194713Z,"RUA JOÃO LOPES BEZERRA,59- CENTRO, UPANEMA-RN, BRASIL-PREFEITURA",UPANEMA\RN,,3dias,
online,724305,7KOL0620940WS,"RUA JOÃO FRANCISCO,90- CENTRO, UPANEMA-RN, BRASIL- CENTRO ADMINISTRATIVO",UPANEMA\RN,,3dias,
online,724314,YP6J4603405RO,"RUA FRANCISCO BEZERRA- UPANEMA-RN, BRASIL",UPANEMA\RN,,3dias,
online,638026,XO4J50010588W,"RUA JOSÉ LOPES, UPANEMA-RN, BRASIL-UBS MARIA MARLUZA",UPANEMA\RN,,3dias,
online,636596,f27af6f0-e8f1-11ec-9c91-af0e154af453.stream,"RN 110- CENTRO, UPANEMA-RN, BRASIL- TORRE - CAM 04 - PORTAL DO SOL",UPANEMA\RN,,3dias,rtsp://admin:mgnet1qaz@170.81.81.234:1033/cam/realmonitor?channel=1&subtype=0
online,636594,d0eab300-e8f0-11ec-be39-9988cd507575.stream,"RN 110- CENTRO, UPANEMA-RN, BRASIL- TORRE - CAM 02 - PORTAL DO SOL",UPANEMA\RN,,3dias,rtsp://admin:mgnet1qaz@170.81.81.234:1031/cam/realmonitor?channel=1&subtype=0
online,636592,7d09c4b0-e8f0-11ec-a5e0-cd59438670e2.stream,"LPR- RN 110- CENTRO, UPANEMA-RN, BRASIL- TORRE - CAM 01 - PORTAL DO SOL",UPANEMA\RN,,3dias,rtsp://admin:mgnet1qaz@170.81.81.234:1030/cam/realmonitor?channel=1&subtype=0
online,631050,XO4K0103556XZ,"AVENIDA 16 DE SETEMBRO- CENTRO, UPANEMA-RN, BRASIL- SEDE GM",UPANEMA\RN,,3dias,
online,755346,203718224,"RUA GETULIO VARGAS, S/N- CENTRO, UPANEMA-RN, BRASIL- MERCADO PUBLICO 01",UPANEMA\RN,,3dias,
online,630975,XO4K0205672BU,"RUA GETULIO VARGAS, S/N- CENTRO, UPANEMA-RN, BRASIL- PREFEITURA",UPANEMA\RN,,3dias,
online,773879,7KOM0108864TU,"RUA ANTÔNIO VITORINO- UPANEMA- RN, BRASIL- UBS CÂNDIDO MARTINS",UPANEMA\RN,,3dias,
online,629534,XO4K0205650BM,"AVENIDA 16 DE SETEMBRO- CENTRO, UPANEMA-RN, BRASIL- 02",UPANEMA\RN,,3dias,
online,815593,XO4J5001384CV,"RUA GETULIO VARGAS, S/N- CENTRO, UPANEMA-RN, BRASIL- PRAÇA 01",UPANEMA\RN,,3dias,
online,629023,YP6J46037042J,"RUA JOSÉ LOPES, UPANEMA-RN, BRASIL-SEC. EDUCAÇÃO",UPANEMA\RN,,3dias,
online,628902,YP6J4604327EP,"RUA MANOEL DAVI NETO- CENTRO, UPANEMA-RN, BRASIL, GARAGEM GUARDA MUNICIPAL",UPANEMA\RN,,3dias,
offline,832513,DAI0003485650,festa teste,UPANEMA\RN,,3dias,
offline,628833,YP6J4603770S7,"PASSAGEM MOLHADA- BEIRA RIO, UPANEMA-RN, BRASIL",UPANEMA\RN,,3dias,
offline,711400,7KOL0619439S9,"RUA ANTÔNIO CARLOS DE CARVALHO-, UPANEMA-RN, BRASIL- ABATEDOURO 02",UPANEMA\RN,,3dias,
offline,711382,7KOL06179517U,"TRAVESSIA MANOEL GONÇALVES - CENTRO, UPANEMA-RN, BRASIL",UPANEMA\RN,,3dias,
offline,668022,XO4K0104778AN,"RN 110-, UPANEMA-RN, BRASIL- CAMPO GRANDE/UPANEMA",UPANEMA\RN,,3dias,
offline,668021,YP6J4700863N6,"RN 110-, UPANEMA-RN, BRASIL- SAIDA PARA CAMPO GRANDE",UPANEMA\RN,,3dias,
offline,668020,XO4K0204354IA,"RN 110- CENTRO, UPANEMA-RN, BRASIL, GARAGEM DA PRE",UPANEMA\RN,,3dias,
offline,636595,b6fc6780-e8f1-11ec-90dc-3793588f79ca.stream,"RN 110- CENTRO, UPANEMA-RN, BRASIL- TORRE - CAM 03 - PORTAL DO SOL",UPANEMA\RN,,3dias,rtsp://admin:mgnet1qaz@170.81.81.234:1032/cam/realmonitor?channel=1&subtype=0
offline,631027,XO4J5001390BA,"AVENIDA MANOEL GONÇALVES, 97- CENTRO, UPANEMA-RN, BRASIL- 02",UPANEMA\RN,,3dias,
offline,629535,XO4J5000292KM,"AVENIDA 16 DE SETEMBRO- CENTRO, UPANEMA-RN, BRASIL- 01",UPANEMA\RN,,3dias,
offline,629164,XO4K0204105UE,"RUA JOSÉ LOPES, UPANEMA-RN, BRASIL",UPANEMA\RN,,3dias,
offline,629067,XO4K0104961L9,"RUA JOSÉ LOPES, 349-, UPANEMA-RN, BRASIL- ESCOLA MARIA GORETE",UPANEMA\RN,,3dias,
