Status,ID,UID,Título,Usuário,Observações,Plano,RTSP
online,620443,YP6J46006292T,ESCOLA M Monsenhor Celso - A,Jean Junior,SERCONTEL,7dias,
online,620445,YP6J460064488,ESCOLA M Monsenhor Celso - B,Jean Junior,SERCONTEL,7dias,
online,620576,YP6J46006304I,CMEI Prof Marlemarli Lourenço Reschette - A,Jean Junior,SERCONTEL,7dias,
online,620577,YP6J46006422G,CMEI Prof Marlemarli Lourenço Reschette - B,Jean Junior,SERCONTEL,7dias,
online,620610,YP6J46005477D,ESCOLA M Prof Maria Celestina Machado - A Ao Lado (Centro de Saúde),Jean Junior,PROTOCOLO: 202503403861,7dias,
online,620611,YP6J46007420Q,ESCOLA M Prof Maria Celestina Machado - B Ao Lado (Centro de Saúde),Jean Junior,PROTOCOLO: 202503403861,7dias,
online,620760,YP6J4600665BP,ESCOLA M Antenor Balarotti - A,Jean Junior,SERCONTEL,7dias,
online,620761,YP6J46006387L,ESCOLA M Antenor Balarotti - B,Jean Junior,SERCONTEL,7dias,
online,620892,YP6J4600656L1,ESCOLA M Amábile Tonetto Pozzobon - A,Jean Junior,SERCONTEL,7dias,
online,620894,YP6J4600600GQ,ESCOLA M Amábile Tonetto Pozzobon - B,Jean Junior,SERCONTEL,7dias,
online,620948,YP6J4600540RY,CMEI Branca Eliza Menezes Meirelles - B,Jean Junior,SERCONTEL,7dias,
online,620949,YP6J46006351G,CMEI Branca Eliza Menezes Meirelles - A,Jean Junior,SERCONTEL,7dias,
online,620968,YP6J4600668M5,CMEI Josefa Munhoz De Oliveira - A,Jean Junior,SERCONTEL,7dias,
online,620969,YP6J4600648CI,CMEI Josefa Munhoz De Oliveira - B,Jean Junior,SERCONTEL,7dias,
online,620994,YP6J46030918B,ESCOLA M João Daniel Machado Benetti (Santa Zelia) - B,Jean Junior,"Zuslaine Sta Zelia
+55 44 9860-3637 
DIRETORA ESCOLA",7dias,
online,621102,YP6J46053812O,ESCOLA M Alberto Bonini - A,Jean Junior,SERCONTEL,7dias,
online,621103,YP6J4604084C0,ESCOLA M Alberto Bonini - B,Jean Junior,TUPINAMBÁ - VERIFICAR,7dias,
online,621152,YP6J4603128IY,CMEI Nossa Senhora Aparecida - A (IÇARA),Jean Junior,SERCONTEL,7dias,
online,621153,YP6J4603133CY,CMEI Nossa Senhora Aparecida - B (IÇARA),Jean Junior,SERCONTEL,7dias,
online,621187,YP6J4603201XM,UBS Içara - A,Jean Junior,REFORMA,7dias,
online,621188,YP6J4603144UY,UBS Içara - B,Jean Junior,REFORMA,7dias,
online,621227,YP6J4600640KL,Clinica da Mulher e da Criança - A,Jean Junior,LÉ (44)3134-1400C(44) 3134-0997BRUNA,7dias,
online,621266,YP6J4603920NF,UBS Vitória Régia - B,Jean Junior,SERCONTEL,7dias,
online,621292,YP6J46035294O,UBS Vila Olivia - A,Jean Junior,VERIFICAR,7dias,
online,621294,YP6J4603924P5,UBS Vila Olivia - B,Jean Junior,SERCONTEL,7dias,
online,621332,YP6J4603423JL,CRAS 2 vila nova - A,Jean Junior,SERCONTEL,7dias,
online,621333,YP6J4603822XF,CRAS 2 vila nova - B,Jean Junior,SERCONTEL,7dias,
online,621425,YP6J4603415EF,UBS Vila Nova - A,Jean Junior,SERCONTEL,7dias,
online,621427,YP6J4603801Q7,UBS Vila Nova - B,Jean Junior,SERCONTEL,7dias,
online,621458,YP6J4605145V3,CAPS - A,Jean Junior,SERCONTEL,7dias,
online,621459,YP6J460533003,CAPS - B,Jean Junior,SERCONTEL,7dias,
online,621513,YP6J4603936H9,Projeto PIÁ - A,Jean Junior,SERCONTEL,7dias,
online,621514,YP6J46044170E,Projeto PIÁ - B,Jean Junior,SERCONTEL,7dias,
online,621531,YP6J460061114,CMEI Santa Terezinha - A (Santa Zélia),Jean Junior,INTERNET VIA RADIO -SERCONTEL,7dias,
online,621532,YP6J4600643HX,CMEI Santa Terezinha - B (Santa Zélia),Jean Junior,INTERNET VIA RADIO -SERCONTEL,7dias,
online,621550,YP6J4605329ZK,UBS Tupinambá - A,Jean Junior,IRED - DELTA,7dias,
online,621551,YP6J4605150E7,UBS Tupinambá - B,Jean Junior,IRED - DELTA,7dias,
online,621574,YP6J4605151S4,UBS Santa Zélia - A,Jean Junior,INTERNET VIA RADIO -SERCONTEL,7dias,
online,621579,YP6J4604065YC,UBS Santa Zélia - B,Jean Junior,INTERNET VIA RADIO - SERCONTEL,7dias,
online,621622,YP6J4605350OJ,CMEI João Paulo II - A,Jean Junior,SERCONTEL- Diretora Jaqueline,7dias,
online,621624,YP6J4604073UR,CMEI João Paulo II - B,Jean Junior,SERCONTEL- Diretora Jaqueline,7dias,
online,621696,YP6J4603178KN,CMEI Deus Menino - B (Tupinambá),Jean Junior,INTERNET VIA RADIO -SERCONTEL,7dias,
online,621711,YP6J4605155AS,Centro de Saúde - A,Jean Junior,,7dias,
online,621712,YP6J4605154Z0,Centro de Saúde - B,Jean Junior,,7dias,
online,622239,YP6J4605365H2,"CESTARI DESPACHANTE Av. Pres. Epitácio, 955-Centro - A",Jean Junior,CEDE PONTO Cestari Despachante (44) 99826-6129,7dias,
online,622246,YP6J4605375ZZ,"CESTARI DESPACHANTE Av. Pres. Epitácio, 955-Centro - B",Jean Junior,CEDE PONTO Cestari Despachante (44) 99826-6129,7dias,
online,622416,YP6J4603175TG,Assistência Social - A,Jean Junior,SERCONTEL,7dias,
online,622417,YP6J46040724M,Assistência Social - B,Jean Junior,SERCONTEL,7dias,
online,622454,YP6J4603117N2,Rodoviaria (FRENTE) - B,Jean Junior,INTERNET OI,7dias,
online,622456,YP6J4604071GW,Rodoviaria (ESTACIONAMENTO) - B,Jean Junior,INTERNET OI,7dias,
online,622457,YP6J4604082DY,Rodoviaria (ENTRADA ÔNIBUS) - A,Jean Junior,INTERNET OI,7dias,
online,622458,YP6J46040772J,Rodoviaria (ENTRADA ÔNIBUS) - B,Jean Junior,INTERNET OI,7dias,
online,623316,YP6J4604056Y8,Ginásio de Esportes ESTACIONAMENTO,Jean Junior,SERCONTEL,7dias,
online,623376,YP6J47002906G,Ginásio de Esportes PORTAO - A,Jean Junior,SERCONTEL,7dias,
online,623379,YP6J4700295UU,Ginásio de Esportes PORTAO - B,Jean Junior,SERCONTEL,7dias,
online,623407,YP6J4700320Q3,Ginásio de Esportes ENTRADA SOCIAL,Jean Junior,SERCONTEL,7dias,
online,625137,XO4J5009912NV,"Rua: João Nelson Arcipretti, 381 - A",TECNICO IMPLANTAÇÃO,,7dias,
online,625198,YP6J46053387U,"Rua: João Nelson Arcipretti, 381 - B",TECNICO IMPLANTAÇÃO,,7dias,
online,625357,YP6J4700285LI,Secretaria De Educação - B,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,625386,YP6J47003340J,Secretaria De Educação - A,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,625511,YP6J4700340NG,"Rua Bahia, 155 Centro(Sala 01) - A",TECNICO IMPLANTAÇÃO,,7dias,
online,625513,YP6J47003379W,"Rua Bahia, 155 Centro(Sala 01) - B",TECNICO IMPLANTAÇÃO,,7dias,
online,625751,YP6J4603115IZ,"Av Caetano Munhoz Da Rocha, 04 - B",TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,625903,YP6J4603802BI,"Av. Interventor Manoel Ribas , 218 A - Esq. Posto Trabuco",TECNICO IMPLANTAÇÃO,INTERNET OI - FARMACIA,7dias,
online,625916,YP6J4603155T7,"Av. Interventor Manoel Ribas , 218 B - Esq. Posto Trabuco",TECNICO IMPLANTAÇÃO,INTERNET OI - FARMACIA,7dias,
online,626033,YP6J4604049L3,"Av. Dr. José Soares de Azevedo, 199 (Laboratório) -A",TECNICO IMPLANTAÇÃO,Pessoal desliga,7dias,
online,626139,XO4J5008020TU,"Rua Beija Flor,670 - CENTRO DO IDOSO - A",TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,626140,XO4J5008337IJ,"Rua Beija Flor,670 -CENTRO DO IDOSO - B",TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,626143,XO4J5008344O2,O Pasteleiro - B,TECNICO IMPLANTAÇÃO,"Cede ponto Matheus 
TEL: 44997374077",7dias,
online,626412,XO4J5007917L6,Portaria Horto Florestal - A (Saida),TECNICO IMPLANTAÇÃO,,7dias,
online,626413,XO4J5008016JY,Portaria Horto Florestal - B,TECNICO IMPLANTAÇÃO,,7dias,
online,626478,XO4J5007855M6,Portaria Horto Florestal - A (Entrada),TECNICO IMPLANTAÇÃO,,7dias,
online,626479,XO4J50082815W,Portaria Horto Florestal -B,TECNICO IMPLANTAÇÃO,,7dias,
online,626534,XO4J5008335EZ,TORRE - Meu Campinho - A,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,626535,XO4J5008027NV,TORRE - Meu Campinho - B,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,626536,YP6J4602452MY,TORRE - Meu Campinho - C,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,626537,YP6J4700286PF,TORRE - Meu Campinho - D,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,627152,YP6J4700293NL,"Avenida Souza Naves,624 - A",TECNICO IMPLANTAÇÃO,,7dias,
online,627161,YP6J4700275Z9,"Avenida Souza Naves,624 - B",TECNICO IMPLANTAÇÃO,,7dias,
online,627167,YP6J4700299U7,Justiça Federal -A,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,627182,YP6J4700261UA,Justiça Federal -B,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,628387,YP6J4700181ZN,Rua Minas Gerais 174 - B (Polícia Militar),TECNICO IMPLANTAÇÃO,,7dias,
online,628494,YP6J4700294JE,VIP 1230 Trevo Içara - Santa Zélia - Av Doutor José Soares de Azevedo 1018 - B,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,628645,YP6J460073470,VIP 1230 Trevo Içara - Santa Zélia - Av Doutor José Soares de Azevedo 1018 - A,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,628646,b67022f0-b7a2-11ec-80a1-a7fcfbea85bb.stream,"LPR - Rodovia José Carlos de Carli, 94 B (Sentido Jaguapitã)",TECNICO IMPLANTAÇÃO,SERCONTEL,30dias,rtsp://admin:Camerite@186.236.131.140:1550/cam/realmonitor?channel=1&subtype=0
online,628676,YP6J4700296T2,TORRE - Praca Chitaozinho & Xororo - A,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,628677,YP6J4604078AD,TORRE - Praca Chitaozinho & Xororo - B,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,628679,YP6J4604080LG,TORRE - Praca Chitaozinho & Xororo - C,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,628699,27de7790-b986-11ec-a4a8-57b9324c215e.stream,"LPR - RUA DA SORIA, 754 - A (TREVO) Rodovia PR 218 - Km01 - Contorno Sul (Sentido Jardim Verelena)",TECNICO IMPLANTAÇÃO,SERCONTEL,30dias,rtsp://admin:Camerite@186.236.131.107:1550/cam/realmonitor?channel=1&subtype=0
online,628710,XO4J50099241O,"TORRE CEF - Av Presidente Getúlio Vargas,7 - A",TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,628711,XO4J5009885LX,"TORRE CEF - Av Presidente Getúlio Vargas,7 - B",TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,628805,YP6J4605353N1,TORRE - Horto Florestal Bosque - A,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,628808,YP6J4604051BE,TORRE - Horto Florestal Bosque - B,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,628810,YP6J46031512K,TORRE - Horto Florestal Bosque - C,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,628930,YP6J47003415D,TORRE - Praca Chitaozinho & Xororo - D,TECNICO IMPLANTAÇÃO,,7dias,
online,629116,YP6J4603191DV,TORRE - Horto Florestal Bosque - D,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,629170,XO4J5009914BB,TORRE - Praca Central  (Prefeitura) - A,TECNICO IMPLANTAÇÃO,INTERNET FUNCIONANDO,7dias,
online,629171,XO4J5009918QS,TORRE - Praca Central  (Prefeitura) - B,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,629188,XO4J50099079D,TORRE - Praca Central  (Prefeitura) - C,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,629209,XO4J5009897SP,TORRE - Praca Central  (Prefeitura) - D,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,629237,YP6J4700348FP,"1230 B INTEGRADA Rodovia Pr 454, km 3, Astorga - PR",TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,629246,YP6J47001360P,1230- SORIA Rodovia PR 218 - Km01 - Contorno Sul - Jardim Verelena,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,629247,YP6J4700315SN,Cemiterio - A,TECNICO IMPLANTAÇÃO,INSCRIÇÃO: 1758416,7dias,
online,629249,YP6J4700329AT,Cemiterio - C,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,629250,YP6J4700338DH,Cemiterio - D,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,629350,YP6J4700313ME,Cemiterio - G,TECNICO IMPLANTAÇÃO,"PROTOCOLO 202601535961
31/03/2026",7dias,
online,629351,YP6J4700323L3,Cemiterio - I,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,629352,YP6J4700346KD,Cemiterio - J,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,629394,YP6J470027466,Cemiterio - H,TECNICO IMPLANTAÇÃO,"PROTOCOLO 202601536021
31/03/2026",7dias,
online,629433,YP6J46053554S,"Casa de Carne - Av Presidente Vargas,765 - A",TECNICO IMPLANTAÇÃO,"CEDE PONTO - Juliana de Oliveira nicodemo 
TEL:44 9902-7853",7dias,
online,629434,YP6J46053337R,"Casa de Carne - Av Presidente Vargas,765 -B",TECNICO IMPLANTAÇÃO,"CEDE PONTO - Juliana de Oliveira nicodemo 
TEL:44 9902-7853",7dias,
online,629441,YP6J47003050T,Cemiterio - E,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,629444,YP6J4605357H5,Cemiterio - F,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,629917,YP6J4605341O5,Sanepar saída pitangueiras - VIP 1230,TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,631238,YP6J46053264P,"1230 Coanorp Av Rio de Janeiro, 1080 (Canteiro)",TECNICO IMPLANTAÇÃO,SERCONTEL,7dias,
online,806609,YP6J46040666S,Rodoviaria (ESTACIONAMENTO) - A,Astorga 2 (Guilherme),INTERNET OI,7dias,
online,808944,YP6J4604064RR,Rodoviaria (FRENTE) - A,Astorga 2 (Guilherme),INTERNET OI,7dias,
online,763606,2d7a1000-d1a4-11ee-ba94-57dd8000b894.stream,"LPR - Av. Rio de Janeiro, 1080 A (Sentido Centro)",TÉCNICO - HENRY,,30dias,rtsp://admin:camerite1503@186.236.131.103:1550/cam/realmonitor?channel=1&subtype=0
online,795873,687e85b0-664a-11ef-834e-6fb47d5757d7.stream,LPR TORRE CEF - Avenida Presidente Getúlio Vargas - A,TÉCNICO - HENRY,SERCONTEL,30dias,rtsp://admin:camerite1503@186.236.131.111:1550/cam/realmonitor?channel=1&subtype=0
online,795874,3f524a80-664c-11ef-8912-7535a5f95775.stream,LPR TORRE CEF - Avenida Presidente Getúlio Vargas - B,TÉCNICO - HENRY,SERCONTEL,30dias,rtsp://admin:Camerite@186.236.131.111:1551/Streaming/Channels/103/
online,797517,b9260fd0-6abc-11ef-a37e-3996830c1e9c.stream,"LPR - RUA DA SORIA, 754 - B (TREVO) Rodovia PR 218 - Km01, nº SN - Contorno Sul (Sentido Jardim Verelena)",TÉCNICO - HENRY,SERCONTEL,30dias,rtsp://admin:camerite1503@186.236.131.107:1551/Streaming/Channels/103/
online,797524,004abe00-6ac3-11ef-a61f-a17e2fc28393.stream,LPR Saida Pitangueiras (saida pitangueiras),TÉCNICO - HENRY,SERCONTEL,30dias,rtsp://admin:camerite1503@186.236.131.105:1550/Streaming/Channels/103/
online,797525,e2594ee0-6ac5-11ef-a37e-3996830c1e9c.stream,"LPR - Av. Rio de Janeiro, 1080 B (Saída Sabáudia)",TÉCNICO - HENRY,,30dias,rtsp://admin:camerite1503@186.236.131.103:1551/cam/realmonitor?channel=1&subtype=0
online,805523,7KOL4108361B0,UBS Vitória Régia - A,TÉCNICO - HENRY,,7dias,
online,807675,7KOM0607288V4,"Av. Dr. José Soares de Azevedo, 199 (Laboratório) -B",TÉCNICO - HENRY,,7dias,
online,811613,7KOL3901196BV,ESCOLA M João Daniel Machado Benetti (Santa Zelia) - A,TÉCNICO - HENRY,"Zuslaine Sta Zelia
+55 44 9860-3637 
DIRETORA ESCOLA",7dias,
online,703307,7KOK4503856EH,Esquina - Padaria Empório do pão,TÉCNICO - ALESSANDRO,,7dias,
online,727574,39ab0e50-27f0-11ee-b9c4-bf9cbed30de4.stream,LPR GRANADA Portal Turistico - B  Entrada,TÉCNICO - ALESSANDRO,"PROTOCOLO: 202601535691
31/03/2026",30dias,rtsp://admin:camerite1503@186.236.131.106:1550/Streaming/Channels/103/
online,727579,25671be0-27f1-11ee-ab01-7397d8090dc2.stream,LPR GRANADA Portal Turistico - A  Saida,TÉCNICO - ALESSANDRO,"PROTOCOLO: 202601535691
31/03/2026",30dias,rtsp://admin:camerite1503@186.236.131.106:1551/cam/realmonitor?channel=1&subtype=0
online,830711,3409a2a0-dd0f-11f0-b670-111ec0b0b7db.stream,"LPR RODOVIA PR 218 KM 03, (em frente Integrada) - A",TÉCNICO - ALESSANDRO,,30dias,rtsp://admin:camerite1503@186.236.131.110:5055/h264/ch1/main/av_stream
online,831037,7KOM1405660OD,Torre escola alfredo sofientini-A,TÉCNICO - ALESSANDRO,"Rafael Rueda Astorga
+55 44 9969-4094",7dias,
online,831038,7KOM09041049D,Torre escola alfredo sofientini-B,TÉCNICO - ALESSANDRO,"Rafael Rueda Astorga
+55 44 9969-4094",7dias,
online,831039,7KOK45038853U,Torre escola alfredo sofientini-C,TÉCNICO - ALESSANDRO,"Rafael Rueda Astorga
+55 44 9969-4094",7dias,
online,831049,7KOL5202909BY,INTEGRADA NOVA B,TÉCNICO - ALESSANDRO,SERCONTEL,7dias,
online,831053,7KOK5011654AR,"TORRE CEF - Av Presidente Getúlio Vargas,7 - NOVA C",TÉCNICO - ALESSANDRO,"Rafael Rueda Astorga
+55 44 9969-4094",7dias,
online,831054,7KOL5202965YL,"TORRE CEF - Av Presidente Getúlio Vargas,7 - NOVA D",TÉCNICO - ALESSANDRO,SERCONTEL,7dias,
online,831061,7KOK50123275F,Praça 3 Poderes -A,TÉCNICO - ALESSANDRO,"Cede ponto oficina
44 998685872 Dinho
44 99284869 Leonardo",7dias,
online,831062,7KOK4506625BW,Praça 3 poderes -B,TÉCNICO - ALESSANDRO,"Cede ponto oficina
44 998685872 Dinho
44 99284869 Leonardo",7dias,
online,831063,XO4K08076681V,Praça 3 Poderes -C,TÉCNICO - ALESSANDRO,"Cede ponto oficina
44 998685872 Dinho
44 99284869 Leonardo",7dias,
online,831072,7KOK50120558K,SAIDA  SANTA  ZELIA  (BAEZA) A,TÉCNICO - ALESSANDRO,"44998093300
José baeza",7dias,
online,831073,7KOK4508303R0,SAIDA  SANTA  ZELIA  (BAEZA) B,TÉCNICO - ALESSANDRO,"44998093300
José baeza",7dias,
online,831076,243568f0-ec0f-11f0-bc25-7314dfc4a1fd.stream,LPR TORRE Escola Afredo sofientini,TÉCNICO - ALESSANDRO,"Rafael Rueda Astorga
+55 44 9969-4094",30dias,rtsp://admin:CAMERITE1503@138.36.175.145:5054/Streaming/Channels/103/
online,831077,7KOK4506598WS,TORRE-Centro de saúde Dr. Arlos A,TÉCNICO - ALESSANDRO,"Rafael Rueda Astorga
+55 44 9969-4094",7dias,
online,831078,7KOL410410936,TORRECentro de saúde Dr. Arlos B,TÉCNICO - ALESSANDRO,"Rafael Rueda Astorga
+55 44 9969-4094",7dias,
