Status,ID,UID,Título,Usuário,Observações,Plano,RTSP
online,808520,FC0205924,"RUA SÃO JOÃO COM A RUA SÃO PEDRO,CAM2",municipio cassilandia,,30dias,
online,808274,FC2487241,"RUA DOMINGOS DE SOUZA FRANÇA COM A RUA JOAQUIM BALDUINO DE SOUZA, CAM1",municipio cassilandia,,30dias,
online,808426,FC2488212,"RUA SEBASTIAO LEAL COM RUA JOSE CRISTINO SOBRINHO (SEMAFARO),CAM2",municipio cassilandia,,30dias,
online,808427,FC2487442,"*AV. RICARDO SANDOVAL BARBOSA COM RUA HERMANTINA BARBOSA SANDOVAL,CAM1",municipio cassilandia,,30dias,
online,808428,FC2488045,"*AV. RICARDO SANDOVAL BARBOSA COM RUA HERMANTINA BARBOSA SANDOVAL,CAM2",municipio cassilandia,,30dias,
online,808429,FC2487432,"RUA JOSE BARBOSA DE OLIVEIRA COM A RUA ANTONIO DE FREITAS PEDROSA,CAM1",municipio cassilandia,,30dias,
online,808433,FC2487935,"RUA JOSE BARBOSA DE OLIVEIRA COM A RUA ANTONIO DE FREITAS PEDROSA,CAM2",municipio cassilandia,,30dias,
online,808504,FC2488213,"RUA PRESIDENTE DUTRA COM A RUA CECILIANO ESTANISLAU DE SOUZA,CAM1",municipio cassilandia,,30dias,
online,808506,FC2488211,"RUA PRESIDENTE DUTRA COM A RUA CECILIANO ESTANISLAU DE SOUZA,CAM2",municipio cassilandia,,30dias,
online,808510,FC2488172,"RUA SEIS COM A RUA MANOEL F. FREITAS (ESTRADA VICINAL),CAM1",municipio cassilandia,,30dias,
online,808511,FC2487909,"RUA SEIS COM A RUA MANOEL F. FREITAS (ESTRADA VICINAL),CAM2 7954000",municipio cassilandia,,30dias,
online,808513,FC2487971,"RUA PEDRO PEREIRA DE ALMEIDA COM RUA LAUDEMIRO FERREIRA DE FREITAS,CAM1",municipio cassilandia,,30dias,
online,808514,FC2488222,"RUA SEIS COM A RUA MANOEL F. FREITAS (ESTRADA VICINAL),CAM3",municipio cassilandia,,30dias,
online,808519,FC2487939,"RUA SÃO JOÃO COM A RUA SÃO PEDRO,CAM1",municipio cassilandia,,30dias,
online,808425,FC0205732,"RUA SEBASTIAO LEAL COM RUA JOSE CRISTINO SOBRINHO (SEMAFARO),CAM1",municipio cassilandia,,30dias,
online,814391,621a87b0-f915-11ef-945a-3bd2372a25a2.stream,LPR - SAIDA INOCENCIA (CAM 1),municipio cassilandia,,30dias,rtsp://admin:Camerite@201.159.91.0:31554/h264/ch1/main/av_stream
online,814394,eedf5c60-f920-11ef-bb3b-5da4a4bd9bb3.stream,LPR - SAIDA PARANAIBA (CAM 1),municipio cassilandia,,30dias,rtsp://admin:Camerite@201.159.91.0:32554/h264/ch1/main/av_stream
online,816519,FC0205773,AV.GUILHERME BEZERRA TED CAM1,municipio cassilandia,,30dias,
online,816526,FC2487874,AV.GUILHERME BEZERRA TED CAM2,municipio cassilandia,,30dias,
online,817364,I20240330AAWRFC2488220,POSTO FISCAL APORÉ,municipio cassilandia,,30dias,
online,817366,I20240329AAWRFC2487429,Saída Paranaiba,municipio cassilandia,,30dias,
online,817367,I20240326AAWRFC0205894,Saída Inocência,municipio cassilandia,,30dias,
