Status,ID,UID,Título,Usuário,Observações,Plano,RTSP
online,811615,68IM43037356Y,ESCOLA GERVÁSIO LAGES RABÊLO 02,ADMINISTRADOR - FRANQUEADO,,30dias,
online,811616,7KOM2805899DY,ESCOLA GERVÁSIO LAGES RABÊLO,ADMINISTRADOR - FRANQUEADO,,30dias,
online,811617,7KOM2804281YC,ESCOLA GERVÁSIO LAGES RABÊLO,ADMINISTRADOR - FRANQUEADO,,30dias,
online,811620,7KOM28059082R,ESCOLA GERVÁSIO LAGES RABÊLO,ADMINISTRADOR - FRANQUEADO,,30dias,
online,811628,68IM430370654,ESCOLA GERVÁSIO LAGES RABÊLO,ADMINISTRADOR - FRANQUEADO,,30dias,
online,811629,7KOM2805903RF,ESCOLA GERVÁSIO LAGES RABÊLO EX,ADMINISTRADOR - FRANQUEADO,,30dias,
online,811630,68IM430372607,ESCOLA GERVÁSIO LAGES RABÊLO,ADMINISTRADOR - FRANQUEADO,,30dias,
online,811632,7KOM2804578H5,ESCOLA GERVÁSIO LAGES RABÊLO,ADMINISTRADOR - FRANQUEADO,,30dias,
online,811634,68IM4303777VW,CRECHE SANTA LUZIA,ADMINISTRADOR - FRANQUEADO,,30dias,
online,811635,68IM44029974H,CRECHE SANTA LUZIA,ADMINISTRADOR - FRANQUEADO,,30dias,
online,811636,68IM4402972AH,CRECHE SANTA LUZIA,ADMINISTRADOR - FRANQUEADO,,30dias,
online,811637,68IM4404632BZ,CRECHE SANTA LUZIA,ADMINISTRADOR - FRANQUEADO,,30dias,
online,811638,68IM4503008B6,CRECHE SANTA LUZIA 02,ADMINISTRADOR - FRANQUEADO,,30dias,
online,811641,68IM4404635GN,CRECHE SANTA LUZIA,ADMINISTRADOR - FRANQUEADO,,30dias,
online,811647,68IM440300140,CRECHE SANTA LUZIA,ADMINISTRADOR - FRANQUEADO,,30dias,
online,811652,68IM4404652MT,CRECHE SANTA LUZIA,ADMINISTRADOR - FRANQUEADO,,30dias,
