Status,ID,UID,Título,Usuário,Observações,Plano,RTSP
online,780040,7KOM090466952,APAE - Rua Joaquim Calixto-Centro - A,TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,781118,7KOM1412769CJ,TORRE Praça-B,TÉCNICO/INSTALADOR AUXÍLIAR - JEAN,PROVEDOR ZAZZ virtualnetadm,30dias,
online,779972,7KOM0707983LB,"Agricultura - Sebastião Maximo, 184 - Centro -A",TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,779973,7KOM0904464O9,"Agricultura - Sebastião Maximo, 184 - Centro -B",TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,779976,7KOM081356304,Garagem - A,TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,779977,7KOM090417657,Garagem - B,TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,779982,7KOM09047769C,"UBS Bernado Pavanelli - Rod. Ver. Jose Gonçalves Avila, 321-443 - A",TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,779983,7KOM09046572W,"UBS Bernado Pavanelli - Rod. Ver. Jose Gonçalves Avila, 321-443 - B",TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,779990,7KOM0904677BW,"CAMARA DE VEREADORES - Av. Natanael Verri, 557 - A",TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,779991,7KOM0904667U4,"CAMARA DE VEREADORES - Av. Natanael Verri, 557 - B",TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,779995,7KOM0904383F7,"POSTO GODOY - Av. Sao Paulo, 767 - Centro - A",TÉCNICO/INSTALADOR JUNIOR,"Cede ponto Willian
tel:	43996210293",7dias,
online,779999,7KOM0904379GE,"POSTO GODOY - Av. Sao Paulo, 767 - Centro - B",TÉCNICO/INSTALADOR JUNIOR,"Cede ponto Willian
tel:	43996210293",7dias,
online,780006,7KOM0812479DR,PONTE - A,TÉCNICO/INSTALADOR JUNIOR,PREFEITURA,7dias,
online,780007,7KOM0904673P2,PONTE - B,TÉCNICO/INSTALADOR JUNIOR,PREFEITURA,7dias,
