Status,ID,UID,Título,Usuário,Observações,Plano,RTSP
online,827972,RXXK30013267G,CAM2-CMEI MARIA BERUSKI - B,Cristian Bubna,OK,7dias,
online,827953,RXXK3002990BA,CAM3-FERRO VELHO - C,Cristian Bubna,OK,7dias,
online,827954,RXXK30014994Y,CAM4-FERRO VELHO - D,Cristian Bubna,OK,7dias,
online,827955,RXXK3001290RS,CAM1-PRAÇA ASA BRANCA - A,Cristian Bubna,OK,7dias,
online,827956,RXXK3002989FX,CAM2-PRAÇA ASA BRANCA - B,Cristian Bubna,OK,7dias,
online,827957,RXXK3001472I1,CAM3-PRAÇA ASA BRANCA - C,Cristian Bubna,OK,7dias,
online,827958,RXXK30004319R,CAM4-PRAÇA ASA BRANCA - D,Cristian Bubna,OK,7dias,
online,827959,RXXK300130355,CAM1-RODOVIARIA - A,Cristian Bubna,OK,7dias,
online,827960,RXXK30020208J,CAM2-RODOVIARIA - B,Cristian Bubna,OK,7dias,
online,827961,RXXK3001477MB,CAM3-RODOVIARIA - C,Cristian Bubna,OK,7dias,
online,827962,RXXK30019646U,CAM4-RODOVIARIA - D,Cristian Bubna,OK,7dias,
online,827965,RXXK3000079R2,CAM1-ELIZA VALLE - A,Cristian Bubna,OK,7dias,
online,827966,RXXK3001925N9,CAM2-ELIZA VALLE - B,Cristian Bubna,OK,7dias,
online,827969,RXXK3001984Y8,CAM3-ESCOLA SAO SEBASTIAO - C,Cristian Bubna,OK,7dias,
online,827970,RXXK3001977UX,CAM4-ESCOLA SAO SEBASTIAO - D,Cristian Bubna,OK,7dias,
online,827971,RXXK3001462XS,CAM1-CMEI MARIA BERUSKI - A,Cristian Bubna,OK,7dias,
online,827946,RXXK3001242NK,CAM1-CMEI NOVO - A,Cristian Bubna,OK,7dias,
online,827979,RXXM1505274XR,CAM3-PARQUE EVENTOS MD - C,Cristian Bubna,OK,7dias,
online,827980,RXXM1505810MU,CAM4-PARQUE EVENTOS MD - D,Cristian Bubna,OK,7dias,
online,827996,RXXK3002948FP,CAM1-PRAÇA CENTRAL - A,Cristian Bubna,OK,7dias,
