Status,ID,UID,Título,Usuário,Observações,Plano,RTSP
online,806256,FC2487833,1 - Av. Weimar Goncalves Torres - Rua Alagoas - CAM 2 - PMI ( USONET ),ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806259,FC2487260,1 - Av. Weimar Goncalves Torres - Rua Alagoas - CAM 1 - PMI ( USONET ),ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806319,FC2487237,2 -  Av. Weimar Goncalves Torres - Rua Arlete Maria Lima da Silva - CAM 2 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806323,FC2487230,2 - Av. Weimar Goncalves Torres - Rua Arlete Maria Lima da Silva - CAM 1 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806326,FC2487866,3 - SEMÁFORO AV AMELIA FUKUDA (1),ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806328,FC2487838,5- Av. Amelia Fukuda- R Rio de Janeiro - CAM 2 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806329,FC2487847,5- Av. Amelia Fukuda- Av. Pantanal - CAM 1 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806368,FC2487196,6 - Av. Dourados - Rua Dos Jardins - CAM 1 - PMI ( USONET ),ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806376,FC2487653,6 - Av. Dourados - Rua Dos Jardins - CAM 2 - PMI ( USONET ),ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806378,FC2488099,7 - Praça Parque de SKATE - CAM 2 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806385,FC2488066,7 - Praça Parque de SKATE - CAM 1 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806403,FC2487959,8 - Av. Dourados - Rua Yokohama - CAM 2 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806423,FC0205896,8 - Av. Dourados - Rua Yokohama - CAM 1 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806426,FC2487908,9 - Av. Campo Grande - Rua Tokio - CAM 1 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806429,FC0206021,9 - Av. Campo Grande - Rua Tokio - CAM 2 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806433,FC2488103,30 - Av. Campo Grande - Av. Fátima - CAM 2 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806436,FC0206014,30 - Av. Campo Grande - Av. Fátima - CAM 1 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806437,FC0205938,11- Av. Campo Grande - Posto Petro Campo - CAM 2 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806447,FC0205860,11- Av. Campo Grande - Posto Petro Campo - CAM 1 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806451,AH3272056,12- Av. Amambai - Rua Paraiba - CAM 2 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806468,FC2488111,12-  Av. Amambai - Rua Paraiba - CAM 1 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806478,FC0206005,13 -  Av. Amambai - Rua Para - CAM 2- PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806483,FC0206012,13- Av. Amambai - Rua Para - CAM 1 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806490,FC0205740,14-Av.Amambai - Av. Leste Oeste - Três - CAM 1 - TMO,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806491,FC0205941,14 - Av. Amambai - Av. Leste Oeste - Três - CAM 2 - TMO,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806499,FC0205854,15 - Av. Caarapó - Av. Bataiporã - CAM 2 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806500,FC0206006,15 - Av. Caarapó - Av. Bataiporã - CAM 1 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806510,FC0205972,16 -  Av. Nova Andradina - Av. Pantanal - CAM 2 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806511,FC0205764,16 - Av. Nova Andradina - Av. Pantanal - CAM 1 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806582,FC0205837,17 - Av. Jatei - Av. Weimar Goncalves Torres - CAM 2 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
online,806584,FC0205727,17 - Av. Jatei - Av. Weimar Goncalves Torres - CAM 1 - PMI,ADM - PREFEITURA DE NAVIRAÍ,,30dias,
