Status,ID,UID,Título,Usuário,Observações,Plano,RTSP
online,739054,L34845305,GLORIA16,Administrador,,7dias,
online,834556,K25161112,LPR Ville,Administrador,,30dias,
online,809658,L52943635,LPR Portal,Administrador,,30dias,
online,742874,C0AJ13002588K,Rua da feira,Administrador,,7dias,
online,740709,L34845332,GLORIA28,Administrador,,7dias,
online,740691,L34845307,GLORIA27,Administrador,,7dias,
online,740688,L34845318,GLORIA26,Administrador,,7dias,
online,740645,L34845262,GLORIA24,Administrador,,7dias,
online,740622,L34845316,GLORIA23,Administrador,,7dias,
online,740583,L34845310,GLORIA22,Administrador,,7dias,
online,740570,L34845311,GLORIA21,Administrador,,7dias,
online,739094,L34845321,GLORIA20,Administrador,,7dias,
online,739079,L34844955,GLORIA18,Administrador,,7dias,
online,739076,L34845317,GLORIA17,Administrador,,7dias,
online,728809,J72737745,"Av Lourival Batista, 495",Administrador,,7dias,
online,739018,L34845308,GLORIA14,Administrador,,7dias,
online,738991,L34845315,GLORIA13,Administrador,,7dias,
online,738954,L34845320,GLORIA12,Administrador,,7dias,
online,738943,L34845319,GLORIA11,Administrador,,7dias,
online,733674,J72737143,Rua Padre Jose de Anchieta ( Posto Vile ),Administrador,,7dias,
online,733673,J72737249,Praça 3 Quiosques,Administrador,,7dias,
online,733672,J72735802,"Rua Monte Alegre, 115",Administrador,,7dias,
online,733670,J72737251,"Rua Monte Alegre, 115",Administrador,,7dias,
online,733669,J72739186,"Av Lourival Batista, 495",Administrador,,7dias,
online,733667,J72737140,"Rod. Monte Alegre, 360",Administrador,,7dias,
online,728839,J72737862,Pça 3 Quiosque,Administrador,,7dias,
online,728837,J72734913,Rua Padre Jose de Anchieta ( Posto Vile ),Administrador,,7dias,
online,728810,J72740739,"Rod. Monte Alegre, 360",Administrador,,7dias,
offline,739045,L34845489,GLORIA15,Administrador,,7dias,
offline,739088,L41540963,GLORIA19,Administrador,,7dias,
offline,740735,L34845306,GLORIA29,Administrador,,7dias,
