Status,ID,UID,Título,Usuário,Observações,Plano,RTSP
online,782675,7KOM2401523VK,"Laboratório Municipal -  Av. Cônego José Jesu Flor, 1172, Centro - A",Adm Geovana,,7dias,
online,782677,7KOM2401521X0,"Laboratório Municipal - Av. Cônego José Jesu Flor, 1172, Centro - B",Adm Geovana,,7dias,
online,782679,7KOM2401502FU,"Laboratório Municipal - Av. Cônego José Jesu Flor, 1172, Centro - C",Adm Geovana,,7dias,
online,782692,7KOM2401362Q3,"Av. Ivaí, 1264 (Loja Vida) - A",TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,782739,7KOM14127507L,"Prefeitura Municipal R. Sete de Setembro, 499 - A",TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,782740,7KOM141251905,"Prefeitura  Municipal R. Sete de Setembro, 499 - B",TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,782795,7KOM2401387EA,"R. Mal. Castelo Branco, 2048 - A",TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,782797,7KOM2401520DI,"R. Mal. Castelo Branco, 2048 - B",TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,784502,7KOM2403435QZ,Av. Campos Eliseos (Bar do Tupeti) - A,TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,784510,7KOM2404706SE,Av. Campos Eliseos (Bar do Tupeti) - B,TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,784571,7KOM2404727JD,"Av. Campos Elíseos, 1174 - A",TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,784572,7KOM2403430JT,"Av. Campos Elíseos, 1174 - B",TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,785055,7KOM2401603A7,CMEI João Bolognesi - A,TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,785110,7KOM240493998,Rua Curitiba (Pontilhão Bom Dia) - A,TÉCNICO/INSTALADOR JUNIOR,MGP TELECOM,7dias,
online,785142,7KOM24036437G,Rua Curitiba (Pontilhão Bom Dia)  - B,TÉCNICO/INSTALADOR JUNIOR,MGP TELECOM,7dias,
online,785221,7KOM2404782ZX,Rua Curitiba (Pontilhão Bom Dia) - C,TÉCNICO/INSTALADOR JUNIOR,MGP TELECOM Passar fibra,7dias,
online,785349,7KOM2401601XZ,CMEI João Bolognesi-B,TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,785352,7KOM2404911QS,Rua Curitiba (Pontilhão Bom Dia) - D,TÉCNICO/INSTALADOR JUNIOR,MGP TELECOM,7dias,
online,785353,7KOM2404723GO,"Final Av.Ver. Silvio Alves, 34 - A",TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,785356,7KOM24047569S,"Final Av.Ver. Silvio Alves, 34 - B",TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,785696,7KOM2403645MP,"Rua Santo Antonio, 216  Catedral - A",TÉCNICO/INSTALADOR JUNIOR,"CEDE PONTO - Edemilson Marquesone 44999820672
Predio esta em reforma!",7dias,
online,785699,7KOM24036506T,"Rua Santo Antonio, 216 Catedral  - B",TÉCNICO/INSTALADOR JUNIOR,"CEDE PONTO - Edemilson Marquesone 44999820672
Predio em reforma!",7dias,
online,786631,7KOM14138027N,"Rua Santo Antonio, 2370 Monte Cristo - A",TÉCNICO/INSTALADOR JUNIOR,"CEDE PONTO - Cristiano Croxiatti
tel:44988138159",7dias,
online,786650,7KOM1412471MK,"Rua Santo Antonio, 2370 Monte Cristo - B",TÉCNICO/INSTALADOR JUNIOR,"CEDE PONTO - Cristiano Croxiatti
tel:44988138159",7dias,
online,786739,7KOM24049305V,"Rua Manoel Da Silva, 444 - A",TÉCNICO/INSTALADOR JUNIOR,CEDE PONTO Edilson Rodrigues de Oliveira,7dias,
online,786740,7KOM2401379G9,"Rua Manoel Da Silva, 444 - B",TÉCNICO/INSTALADOR JUNIOR,CEDE PONTO Edilson Rodrigues de Oliveira,7dias,
online,787181,7KOM2405047AC,"Rua Curitiba,2881 (Posto Extra Bom) - B",TÉCNICO/INSTALADOR JUNIOR,"CEDE PONTO POSTO EXTRA BOM
VIA RADIO",7dias,
online,787436,7KOM1412476XJ,Entrada Portal - A,TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,787437,7KOM2405090NB,Entrada Portal - B,TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,787438,7KOM24050810G,Entrada Portal - C,TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,787439,7KOM1412774L8,Entrada Portal - D,TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,787440,7KOM1412775W2,Centro de Convivência do Idoso - B,TÉCNICO/INSTALADOR JUNIOR,Trocar o cabo,7dias,
online,788703,7KOM2404754MC,Pontilhão Posto Extra Bom - A,TÉCNICO/INSTALADOR JUNIOR,MGP TELECOM,7dias,
online,788704,7KOM2403388G9,Pontilhão Posto Extra Bom - B,TÉCNICO/INSTALADOR JUNIOR,MGP TELECOM,7dias,
online,788705,7KOM2404742BF,Pontilhão Posto Extra Bom - C,TÉCNICO/INSTALADOR JUNIOR,MGP TELECOM,7dias,
online,788708,7KOM24047410X,Pontilhão Posto Extra Bom - D,TÉCNICO/INSTALADOR JUNIOR,MGP TELECOM,7dias,
online,788856,7KOM2404864FC,"Final  Av Panama, 462 Jardim Capital  - A",TÉCNICO/INSTALADOR JUNIOR,Cede Ponto Patrícia de Fátima Martins,7dias,
online,788858,7KOL4107163S1,"Final  Av Panama, 462 Jardim Capital  - B",TÉCNICO/INSTALADOR JUNIOR,Cede Ponto Patrícia de Fátima Martins,7dias,
online,788894,7KOM2401614RH,Final R. dos Navegantes - A,TÉCNICO/INSTALADOR JUNIOR,CEDE PONTO - Jucimar Gonsalves Dos Santos,7dias,
online,788895,7KOM2401662Q1,Final R. dos Navegantes - B,TÉCNICO/INSTALADOR JUNIOR,CEDE PONTO - Jucimar Gonsalves Dos Santos,7dias,
online,790736,7KOM14142904S,Campo Bela vista - A,TÉCNICO/INSTALADOR JUNIOR,MGP TELECOM,7dias,
online,818865,C0AJ1801079YE,TV. Rodoviaria Estação - C,TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,825796,XO4K08076640H,"Av. Rio Branco, 495, Santa Luzia - A",TÉCNICO/INSTALADOR JUNIOR,CEDE PONTO - Aline Christiane de Lima tel:44999669792,7dias,
online,825822,7KOM06072657C,"Policia Civil R. Alberto Santos Dumont, 777 - Centro - A",TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,834632,7KOK450698376,ESTACIONAMENTO PREFEITURA,TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,834660,7KOM24000291K,PREFEITURA ENTRADA,TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,834662,9BAL0204592QS,RECEPÇÃO PREFEITURA,TÉCNICO/INSTALADOR JUNIOR,,7dias,
online,782743,7KOM2401394WJ,"Av. Ivaí, 1264 (Loja Vida) - B",TÉCNICO/INSTALADOR SANDRO,,7dias,
online,782964,7KOM2401376ZT,"Av. Ivai, 2525 - A",TÉCNICO/INSTALADOR SANDRO,4499829754 ivai 2525,7dias,
online,782965,7KOM24014033Q,"Av. Ivai, 2525 - B",TÉCNICO/INSTALADOR SANDRO,,7dias,
online,784962,7KOM24047257C,Av. Independência (Escola M. Maria Ap. Lacal) - A,TÉCNICO/INSTALADOR SANDRO,CEDE PONTO ESCOLA,7dias,
online,786850,7KOM240140614,"Av. Independencia, 1278 - A",TÉCNICO/INSTALADOR SANDRO,,7dias,
online,786987,7KOM2404779ZV,"Rua Curitiba,2881 (Posto Extra Bom) - A",TÉCNICO/INSTALADOR SANDRO,"CEDE PONTO POSTO EXTRA BOM
VIA RADIO",7dias,
online,787205,7KOM2404825UT,Centro de Convivência do Idoso - A,TÉCNICO/INSTALADOR SANDRO,,7dias,
online,787359,7KOM1412763T9,"Av. Independencia, 1278 - B",TÉCNICO/INSTALADOR SANDRO,,7dias,
online,788713,13ed2140-4f8f-11ef-b651-1103572d777a.stream,LPR Pontilhao- Rua Marechal Castelo Branco( Sentido Penitenciaria),TÉCNICO/INSTALADOR SANDRO,MGP TELECOM,30dias,rtsp://admin:Camerite@138.99.254.81:5054/h264/cam/realmonitor?channel=1&subtype=0
online,788784,7KOM24016723B,"Rua Ipiranga, 470( POSTO AGUA BOA) - A",TÉCNICO/INSTALADOR SANDRO,CEDE PONTO - Cezar Gabriel	44999141453,7dias,
online,788786,7KOM240162865,"Rua Ipiranga, 470(POSTO AGUA BOA) - B",TÉCNICO/INSTALADOR SANDRO,CEDE PONTO - Cezar Gabriel	44999141453,7dias,
online,789938,31bf31e0-5679-11ef-9156-83309bd15ea8.stream,LPR Portal  - Entrada da Cidade,TÉCNICO/INSTALADOR SANDRO,,30dias,rtsp://admin:Camerite@138.99.254.66:5054/Streaming/Channels/103/
online,790495,7KOM2401515OP,Praça Leonardo Bras De Oliveira (AGUA BOA),TÉCNICO/INSTALADOR SANDRO,,7dias,
online,790548,7KOM2401664H0,Rua Curitiba (Frente Teles Hidráulica) - A,TÉCNICO/INSTALADOR SANDRO,,7dias,
online,790549,7KOM2401660ET,Rua Curitiba (Frente Teles Hidráulica) - B,TÉCNICO/INSTALADOR SANDRO,,7dias,
online,790805,7KOM1414282PR,Campo Bela Vista - B,TÉCNICO/INSTALADOR SANDRO,MGP TELECOM,7dias,
online,790925,7KOM2401101AZ,Campo Bela Vista - C,TÉCNICO/INSTALADOR SANDRO,MGP TELECOM,7dias,
online,790927,7KOM2403421DV,Campo Bela Vista - D,TÉCNICO/INSTALADOR SANDRO,MGP TELECOM,7dias,
online,790952,4965d0b0-5bf1-11ef-a7ba-4f58749395ac.stream,LPR  Rua Curitiba (Frente Teles hidráulica),TÉCNICO/INSTALADOR SANDRO,,30dias,rtsp://admin:Camerite@138.99.254.100:5054/h264/ch1/main/av_stream
online,794159,7KOM1413922Z5,Av. Independência (Escola M. Maria Ap. Lacal) - B,TÉCNICO/INSTALADOR SANDRO,,7dias,
online,813216,XO4K0808278X1,Rua Pinheiros com Av Ivai - A,TÉCNICO/INSTALADOR SANDRO,,7dias,
online,782734,7KOM2401513DW,"Av. Vereador Silvio Alves, 1316 (Agropecuaria Marchi) - A",TÉCNICO/INSTALADOR JEAN,,7dias,
online,782737,7KOM2401517SO,"Av. Vereador Silvio Alves, 1316 (Agropecuaria Marchi)-B",TÉCNICO/INSTALADOR JEAN,,7dias,
online,782745,7KOM2401401D5,"Policia Civil R. Alberto Santos Dumont, 777 - Centro -B",TÉCNICO/INSTALADOR JEAN,,7dias,
online,783027,7KOM2404934PC,Prefeitura - A,TÉCNICO/INSTALADOR JEAN,Conexão lenta com internet.,7dias,
online,783035,7KOM2403237M5,Prefeitura - B,TÉCNICO/INSTALADOR JEAN,Conexão lenta com internet.,7dias,
