Status,ID,UID,Título,Usuário,Observações,Plano,RTSP
online,831320,7KOM3017299XQ,Rua Prof Maria Assuncao 725 A,Rodrigo,,30dias,
online,831321,7KOM301721077,Rua Prof. Maria Assuncao 725 B,Rodrigo,,30dias,
online,831351,7KOM301716062,Av. Francisco Perussolo 423 A,Rodrigo,,30dias,
online,831354,7KOM3017182YU,Rua Armando Costa 619 A,Rodrigo,,30dias,
online,831355,7KOM3017301T3,Rua Armando Costa 619 C,Rodrigo,,30dias,
online,831356,7KOM3017194L3,Rua Armando Costa 619 B,Rodrigo,,30dias,
online,831357,7KOM30172281P,Rua Miguel Calil Aiur 62 A,Rodrigo,,30dias,
online,831358,7kom3017178mn,Rua Miguel Calil Aiur 62 B,Rodrigo,,30dias,
online,831359,7KOM3017306HR,Rua Barao Do Rio Branco 265 A,Rodrigo,,30dias,
online,831420,DUK0002783011,Rua Bonifacio Domingues 287 A,Rodrigo,,30dias,
online,831466,DZI0003858687,Rua Bonifacio Domingues 287 B,Rodrigo,,30dias,
online,831472,7KOM3017206YF,"Rua Vitório Cruz, 908 - B",Rodrigo,,30dias,
online,831473,DRH0002783300,"Rua Vitório Cruz, 908 - A",Rodrigo,,30dias,
online,831480,DDT0003353228,Rua Eng Conrado Baumer  164 B,Rodrigo,,30dias,
online,831502,DGJ0003604357,Av Adolfo Stadler 924 C,Rodrigo,,30dias,
online,831570,DIT0002782983,Av Adolfo Stadler 695 A,Rodrigo,,30dias,
online,831577,DEK0003353218,Av Adolfo Stadler 695 B,Rodrigo,,30dias,
online,831578,DTM0003353214,Av Adolfo Stadler 695 C,Rodrigo,,30dias,
online,831580,DMB0003604186,Av Adolfo Stadler 924 D,Rodrigo,,30dias,
online,831582,7KOM30172200X,Av Adolfo Stadler 924 F,Rodrigo,,30dias,
online,831598,DFX0002783268,Rua Vitorio Cruz 713 B,Rodrigo,,30dias,
online,831599,DAK0002652087,Rua Vitorio Cruz 713 A,Rodrigo,,30dias,
online,831601,DAB0002652193,Rua Terencio Bino De Lima 250 A,Rodrigo,,30dias,
online,831602,DUH0003858489,Rua Terencio Bino De Lima 250 B,Rodrigo,,30dias,
online,831603,DRS0002652141,Rua Terecio Bino De Lima 250 C,Rodrigo,,30dias,
online,831644,DYB0002651858,Rua Rui Barbosa 1284 A,Rodrigo,,30dias,
online,831645,DYL0002649999,Rua Rui Barbosa 1284 B,Rodrigo,,30dias,
online,831646,DCS0003353207,Rua Francisco De Ramos Cabral 998 A,Rodrigo,,30dias,
online,831647,DJH0003353196,Rua Francisco De Ramos Cabral 998 B,Rodrigo,,30dias,
online,831648,DJH0003858671,Rua Francisco de Ramos Cabral 998 C,Rodrigo,,30dias,
online,831649,DZD0003353183,Rua Francisco De Ramos Cabral 998 D,Rodrigo,,30dias,
online,831650,DHN0002651798,Rua Inocente Perussolo 470 C,Rodrigo,,30dias,
online,831651,DAA0002651110,Rua Inocente Perussolo 470 B,Rodrigo,,30dias,
online,831652,DLN0002649703,Rua Inocente Perussolo 470 A,Rodrigo,,30dias,
online,831653,7KOM30171707X,Av. Francisco Perussolo 423 C,Rodrigo,,30dias,
online,831654,TKOM3017191DL,Av. Francisco Perussolo 423 D,Rodrigo,,30dias,
online,831655,7KOM3017168VV,Av. Francisco Perussolo 423 E,Rodrigo,,30dias,
online,831656,7KOM3017307RM,Av. Francisco Perussolo 423 F,Rodrigo,,30dias,
online,831657,7KOM30172908F,Av Adolfo Stadler 924 G,Rodrigo,,30dias,
online,831737,DTA0002783400,Rua Jose de Souza 88 A,Rodrigo,,30dias,
online,831738,DNX0002649915,Rua Jose De Souza Franca 88 B,Rodrigo,,30dias,
online,831739,DUR0002783912,Rua Jose Benedito De Freitas 132 A,Rodrigo,,30dias,
online,831740,DXL0002651371,Rua Jose Benedito De Freitas 132 B,Rodrigo,,30dias,
online,831742,DZO0003353194,Rua Eng Conrado Baumer 164 C,Rodrigo,,30dias,
online,831776,DCY0002783271,Rua Barquet Ayub 481 A,Rodrigo,,30dias,
online,831777,DGR0003353195,Rua Barquet Ayub 481 B,Rodrigo,,30dias,
online,831778,DUI0002789969,Rua Barquet Ayub 481 C,Rodrigo,,30dias,
online,831779,DAX0003353173,Rua Barquet Ayub 481 D,Rodrigo,,30dias,
online,831781,DVU0002645055,Rua Eugenio Correia 345 A,Rodrigo,,30dias,
online,831782,DMZ0003767066,Rua Eugenio Correia 345 B,Rodrigo,,30dias,
online,831783,DYL0003604155,Rua Eugenio Correia 345 C,Rodrigo,,30dias,
online,831784,DJW0003767083,Rua Eugenio Correia 345 D,Rodrigo,,30dias,
online,831785,DIZ0003766369,Rua Armando Costa 1060 A,Rodrigo,,30dias,
online,831786,DTH0003767033,Rua Armando Costa 1060 B,Rodrigo,,30dias,
online,831787,DRU0003767094,Rua Armando Costa 1060 C,Rodrigo,,30dias,
online,831788,DZR0003767065,Rua Armando Costa 1060 D,Rodrigo,,30dias,
online,831789,DGF0002644647,Rua Maria Isaura S. De Oliveira 274 A,Rodrigo,,30dias,
online,831790,DRJ0002644662,Rua Maria Isaura S. De Oliveira 274 B,Rodrigo,,30dias,
online,831791,DWS0002651868,Rua Maria Isaura S. De Oliveira 274 C,Rodrigo,,30dias,
online,831793,DES0003768621,Rua Pres. Vargas 123 B,Rodrigo,,30dias,
online,831794,DFH0003767902,Rua Pres. Vargas 123 C,Rodrigo,,30dias,
online,831795,DAX0003768711,Rua Pres. Vargas 123 D,Rodrigo,,30dias,
online,831836,DNN0003768324,Rua Prudente De Moraes 699 A,Rodrigo,,30dias,
online,831837,DMW0003768724,Rua Prudente De Moraes 699 B,Rodrigo,,30dias,
online,831838,DPP0003768717,Rua Prudente De Moraes 699 C,Rodrigo,,30dias,
online,831839,DWK0003768716,Rua Pres. Vargas 102 A,Rodrigo,,30dias,
online,831840,DIJ0003768699,Rua Pres. Vargas 102 B,Rodrigo,,30dias,
online,832002,DGI0002790587,Merc E Restaurante Mendes PR364 A,Rodrigo,,30dias,
online,832003,DLV0002783273,Merc E Restaurante Mendes PR364 B,Rodrigo,,30dias,
online,832004,DZL0003858668,Merc E Restaurante Mendes PR364 C,Rodrigo,,30dias,
online,832005,7KOM3017187FT,Av. Francisco Perussolo 423 B,Rodrigo,,30dias,
online,832006,7KOM3017172VV,Rua Barao Do Rio Branco 265 B,Rodrigo,,30dias,
online,832092,DBE0002790669,TORRE-Av Francisco Perussolo 154 A,Rodrigo,,30dias,
online,832093,DXV0002790719,TORRE-Av Francisco Perussolo 154 B,Rodrigo,,30dias,
online,832094,DRX0002790693,TORRE-Av Francisco Perussolo 154 C,Rodrigo,,30dias,
online,832095,DSW0002790550,TORRE-Av Francisco Perussolo 154 D,Rodrigo,,30dias,
online,832096,DHR0002782906,TORRE-Rua Clara Barbosa Da Costa 829 A,Rodrigo,,30dias,
online,832098,DAM0002782910,TORRE-Rua Clara Barbosa Da Costa 829 C,Rodrigo,,30dias,
online,832100,DQX0002782881,TORRE-Rua Clara Barbosa Da Costa 829 D,Rodrigo,,30dias,
online,832101,DAK0002782886,TORRE-Rua Clara Barbosa Da Costa 829 B,Rodrigo,,30dias,
online,832198,DOO0002790664,TORRE-Parque Amb Mun Monge Joao Maria A,Rodrigo,,30dias,
online,832199,DES0002790710,TORRE-Parque Amb Mun Monge Joao Maria C,Rodrigo,,30dias,
online,832201,DHG0002782897,TORRE-Parque Amb Mun Monge Joao Maria D,Rodrigo,,30dias,
online,832202,DJE0002782887,TORRE-Parque Amb Mun Monge Joao Maria B,Rodrigo,,30dias,
online,832230,DDA0002652081,TORRE-Marmeleiro A,Rodrigo,,30dias,
online,832231,DMC0002652127,TORRE-Marmeleiro B,Rodrigo,,30dias,
online,832232,DHF0002652057,TORRE-Marmeleiro C,Rodrigo,,30dias,
online,832233,DJS0002652052,TORRE-Trevo Vila Ester A,Rodrigo,,30dias,
online,832234,DZU0002651979,TORRE-Trevo Vila Ester B,Rodrigo,,30dias,
online,832235,DWO0002652083,TORRE-Trevo Vila Ester C,Rodrigo,,30dias,
online,832236,DLP0002652061,TORRE-Praca Vila Feliz A,Rodrigo,,30dias,
online,832237,DDC0002652062,TORRE-Praca Vila Feliz B,Rodrigo,,30dias,
online,832238,DJD0003365386,TORRE-Praca Vila Feliz C,Rodrigo,,30dias,
online,832239,DJI0002652092,TORRE-Praca Vila Feliz D,Rodrigo,,30dias,
online,832240,DVV0002652028,TORRE-Rua Estefano B Kafka A,Rodrigo,,30dias,
online,832241,DAD0002783978,TORRE-Rua Estefano B Kafka B,Rodrigo,,30dias,
online,832242,DTM0003365471,TORRE-Rua Estefano B Kafka C,Rodrigo,,30dias,
online,832243,DCM0003365714,TORRE-Rua Estefano B Kafka D,Rodrigo,,30dias,
online,832420,DCC0003593593,TORRE-Praca Dos Ferroviarios B,Rodrigo,,30dias,
online,832421,DAL0003593555,TORRE-Praca Dos Ferroviarios C,Rodrigo,,30dias,
online,832422,DII0003365365,TORRE-Praca Dos Ferroviarios D,Rodrigo,,30dias,
online,832423,7KOM3017323P1,TORRE-Praca Dos Ferroviarios A,Rodrigo,,30dias,
online,832424,DDG0002790699,TORRE-Rua Joao De Almeida Barbosa 273 A,Rodrigo,,30dias,
online,832425,DWC0002790702,TORRE-Rua Joao De Almeida Barbosa 273 B,Rodrigo,,30dias,
online,832426,DAB0002790720,TORRE-Rua Joao De Almeida Barbosa 273 C,Rodrigo,,30dias,
online,832427,DAS0002790712,TORRE-Rua Joao De Almeida Barbosa 273 D,Rodrigo,,30dias,
online,832428,DRZ0003363803,TORRE-Rua Miguel Calil Aiur 62 A,Rodrigo,,30dias,
online,832429,DPQ0003365684,TORRE-Rua Miguel Calil Aiur 62 B,Rodrigo,,30dias,
online,832430,DSB0003365392,TORRE-Rua Miguel Calil Aiur 62 C,Rodrigo,,30dias,
