Status,ID,UID,Título,Usuário,Observações,Plano,RTSP
online,766755,L52716059,Rua Angelo Santi -Industrial 03,Prefeitura Santo Augusto,,30dias,
online,832619,6bb65a90-0e88-11f1-94ff-ffdfc2b8e73c.stream,LPR Portico - Santo Augusto RS,Usuário Camerite,http://168.195.173.100:5545/,30dias,rtsp://admin:Camerite@168.195.173.100:7682/h264/ch1/main/av_stream
online,823902,C4:79:05:94;9F:CF,portico,Prefeitura Santo Augusto,,30dias,
online,769859,L55627689,Rua Moises viana - Sol Nascente,Prefeitura Santo Augusto,,30dias,
online,769804,L52943566,LPR Rua Avenida Central - Saida Ciep,Prefeitura Santo Augusto,,30dias,
online,769630,L52715623,Rua Mario Fucilini - Cerro Azul 01,Prefeitura Santo Augusto,,30dias,
online,769624,L52715869,Rua Mario Fucilini - Cerro Azul 02,Prefeitura Santo Augusto,,30dias,
online,769571,L54502986,Rua Batista Andrighetto - IFF 04,Prefeitura Santo Augusto,,30dias,
online,769569,L54503208,Rua Batista Andrighetto - IFF 03,Prefeitura Santo Augusto,,30dias,
online,769563,L54503189,Rua Batista Andrighetto - IFF 02,Prefeitura Santo Augusto,,30dias,
online,769559,L54502987,Rua Batista Andrighetto - IFF 01,Prefeitura Santo Augusto,,30dias,
online,766770,L52715883,Rua Floresta - Lauer 02,Prefeitura Santo Augusto,,30dias,
online,766760,L52715865,Rua Angelo Santi -Industrial 04,Prefeitura Santo Augusto,,30dias,
online,766750,L52715733,Rua Angelo Santi -Industrial 02,Prefeitura Santo Augusto,,30dias,
online,766748,L52715880,Rua Angelo Santi -Industrial 01,Prefeitura Santo Augusto,,30dias,
online,766742,L52713594,Rua Rio branco -Bom Crem 04,Prefeitura Santo Augusto,,30dias,
online,766740,L52716060,Rua Rio Branco -Bom crem 03,Prefeitura Santo Augusto,,30dias,
online,766736,L52716057,Rua Rio branco -Bom Crem 02,Prefeitura Santo Augusto,,30dias,
online,766734,L52716054,Rua Rio Branco -Bom Crem 01,Prefeitura Santo Augusto,,30dias,
online,766703,L55627687,Rua Moises Viana - Brigada Militar Entrada Principal,Prefeitura Santo Augusto,,30dias,
online,763477,L55585412,Rua Jose gutkoski - Escola São Joao Corredor,Prefeitura Santo Augusto,,30dias,
online,763465,L55628752,Rua Jose gutkoski - Escola São Joao Corredor 02,Prefeitura Santo Augusto,,30dias,
online,763436,L55627984,Rua Francisco Fucilini -Antonio Liberato Lateral,Prefeitura Santo Augusto,,30dias,
offline,763370,L52715881,Rua Presidente Costa e Silva -UAN Antonio Liberato 04,Prefeitura Santo Augusto,Foi removida pela prefeitura. Será realocada em outro ponto,3dias,
offline,766775,L52716055,Rua Floresta - Lauer 01,Prefeitura Santo Augusto,,30dias,
offline,763398,L52715884,Rua Presidente Costa e Silva -UAN Antonio Liberato 2,Prefeitura Santo Augusto,Foi removida pela prefeitura. Será realocada em outro ponto,3dias,
offline,763376,L52716056,Rua Presidente Costa e Silva -UAN Antonio Liberato 3,Prefeitura Santo Augusto,Foi removida pela prefeitura. Será realocada em outro ponto,3dias,
offline,763371,L52715868,Rua Presidente Costa e Silva -UAN Antonio Liberato 1,Prefeitura Santo Augusto,Foi removida pela prefeitura. Será realocada em outro ponto,3dias,
