Status,ID,UID,Título,Usuário,Observações,Plano,RTSP
online,745777,L54503065,Praça Pedro Balbino A,Administrador,,7dias,
online,745660,L34845312,"Rua Marechal Teixeira, 10",Administrador,,7dias,
online,745699,L54502965,Saida Borel,Administrador,,7dias,
online,745712,L54503011,Praça da Igreja,Administrador,,7dias,
online,745717,L54502871,Saida Borel A,Administrador,,7dias,
online,745732,L54502891,Praça da Igreja A,Administrador,,7dias,
online,745740,L54502647,Praça Pedro Balbino,Administrador,,7dias,
online,745746,L54502590,"Rua Cruzeiro do Sul , 10 A",Administrador,,7dias,
online,745767,L54503031,"Rua Cruzeiro do Sul , 10",Administrador,,7dias,
online,736819,L34845495,"Rua Oito de Setembro, 92 ( Celinet )",Administrador,,7dias,
online,745800,L52716097,Escola Mun. Valdete Dorea,Administrador,,7dias,
online,745815,L54503070,Escola Mun. Valdete Dorea A,Administrador,,7dias,
online,750797,L45818443,LPR 2,Administrador,,30dias,
online,750810,L45818392,LPR 3,Administrador,,30dias,
online,820634,L45818447,LPR Viaduto,Administrador,,30dias,
online,827254,aK28512513,Carro de Bois 2,Administrador,,7dias,
online,827275,K28511624,Carro de Bois 2,Administrador,,7dias,
online,742405,L34845466,Colegio Albano Franco ( Cardoso ) A,Administrador,,7dias,
online,736806,L43380891,"Rua Oito de Setembro, 92 ( Celinet )",Administrador,,7dias,
online,742324,L34845502,"Rua 8 de Setembro , 337",Administrador,,7dias,
online,742349,L34845497,Saida Itabaianinha ( Matadouro ),Administrador,,7dias,
online,742388,L34845498,Colegio Albano Franco ( Cardoso ),Administrador,,7dias,
online,742421,L34845472,Praça Pedro Silva ( Correios ) Areial,Administrador,,7dias,
online,742446,L34845500,Praça Pedro Silva ( Correios ),Administrador,,7dias,
online,742460,L34845496,"Rua Sr. do Bomfim, 467 ( Colegio Balbino )",Administrador,,7dias,
online,742469,L34845494,"Rua Sr. do Bomfim, 467 ( Colegio Balbino )",Administrador,,7dias,
online,742480,L34845471,GERU 17,Administrador,,7dias,
online,742509,L54503322,Saida Cristinapolis ( Viaduto ) B,Administrador,,7dias,
offline,742529,L54502612,Saida Cristinapolis ( Viaduto ) A,Administrador,,7dias,
offline,742378,L34845469,Praça Jose Anchieta  ( Câmera dos Vereadores ),Administrador,,7dias,
offline,742368,L34845470,Praça Jose Anchieta,Administrador,,7dias,
offline,742489,L34845464,GERU 18,Administrador,,7dias,
offline,742340,L34845501,Saida Itabaianinha ( Matadouro ),Administrador,,7dias,
offline,745695,L34845303,"Rua Marechal Teixeira, 10 A",Administrador,,7dias,
offline,742314,L34845465,"Rua 8 de Setembro , 337 A",Administrador,,7dias,
